tag,actual_dist
sbApprovedDm,4
sbAvailability,9
sbCompliance,4
sbConcurrentSbInfo,5
sbConcurrentSbList,4
sbCondition,10
sbDrawingRef,8
sbDuration,6
sbEstimatedTime,6
sbExternalSpareSet,6
sbExternalSupplySet,6
sbExternalSupportEquipSet,6
sbImpact,5
sbImpactList,4
sbIndividualRemovedSpare,7
sbIndividualSpare,7
sbIndividualSupply,7
sbIndividualSupportEquip,7
sbIndustrySupport,8
sbInstructionRef,8
sbInterchange,8
sbLimit,5
sbManagementInfo,3
sbMaterialDescr,7
sbMaterialInfo,3
sbMaterialInfoContent,4
sbMaterialSet,6
sbMaterialSetList,5
sbMaterialSetRef,10
sbOriginalIssueDate,4
sbPlanningInfo,3
sbPriceInfo,9
sbProcurementAddress,9
sbProcurementInfo,8
sbProductModification,5
sbProductModificationList,4
sbRemovedSpareDescr,8
sbRemovedSpareSet,6
sbRemovedSparesList,5
sbReplacement,9
sbReplacementSb,4
sbRevisionInfo,3
sbSpareSet,6
sbSparesList,5
sbSummary,3
sbSuppliesList,5
sbSupplySet,6
sbSupportEquipSet,6
sbSupportEquipsList,5
sbTaskType,4
sbTimeAssessment,4
sbTimeCompliance,6
sbTimeInfo,5
sbTopic,4
sbTopicContent,5
scoContent,2
scoEntry,1
scoEntryItem,0
scormContentPackage,0
scormContentPackageAddress,2
scormContentPackageAddressItems,3
scormContentPackageCode,2
scormContentPackageIdent,3
scormContentPackageMedia,3
scormContentPackageRef,0
scormContentPackageRefAddressItems,1
scormContentPackageRefIdent,1
scormContentPackageStatus,2
scormContentPackageTitle,2
screen,8
screenCount,6
screenGroup,7
screenOrder,10
secondVerification,4
sectionIdent,7
security,3
selectOrManufacture,7
selectOrManufactureFromIdent,6
send,1
sendName,2
serialNumber,11
service,7
setValue,0
shelfLife,9
shippingInfo,8
shortDescr,4
shortExternalPubTitle,3
shortName,10
shortPmTitle,3
shrinkSleeve,5
shrinkSleeveGroup,4
shuntGroupingValue,11
siblingPlugIdent,7
signalInfo,7
simplePara,4
simpleRefPara,4
simpleRemark,8
size,6
skillLevel,3
sleeve,8
sleeveDiameter,6
sleeveGroup,7
snsAssy,8
snsCode,9
snsDescr,4
snsRules,3
snsSubSubSystem,7
snsSubSystem,6
snsSystem,5
snsTitle,9
softwareClassification,6
softwareCustomizationStatus,6
solderSleeve,5
solderSleeveGroup,4
sourceDmIdent,3
sourceDocRef,0
sourceMaintRecoverability,7
sourcePmIdent,3
sourceScormContentPackageIdent,3
sourceType,5
sourcingType,7
spareDescr,6
spareDescrGroup,5
sparePartClass,7
specDocument,7
specGroup,6
specialConnection,10
specialStorage,7
specialTerminal,8
sru,9
sruItem,8
standardPartGroup,3
state,9
street,9
stringValue,1
structureObjectRule,5
structureObjectRuleGroup,4
subScript,2
subStringFunction,0
subStringLength,1
subStringPosition,1
superScript,2
supersedure,5
supervisorLevel,5
supplyClassification,6
supplyDescr,6
supplyDescrGroup,5
supplyIdent,6
supplyRef,8
supplyRepository,3
supplyRqmt,7
supplyRqmtAltIdent,8
supplyRqmtAltStatus,8
supplyRqmtAlts,6
supplyRqmtIdent,6
supplyRqmtRef,7
supplyRqmtRepository,3
supplyRqmtSpec,5
supplyRqmtStatus,6
supplySet,7
supplySetGroup,6
supplySpec,5
supportEquipDescr,6
supportEquipDescrGroup,5
surfaceProtection,6
symbol,4
systemBreakdownCode,3
systemIdent,7
systemLocation,7
systemName,7
systemPosition,7
targetDmIssueInfo,3
targetDmStatus,2
task,5
taskCategory,8
taskDefinition,4
taskDefinitionAlts,3
taskDescr,6
taskDuration,5
taskGroup,4
taskItem,5
taskMarker,6
taskTitle,6
tbody,1
techData,6
techName,4
techPubBase,5
techStandard,3
temperature,6
terminationModuleGroupingValue,11
terminologyDefinition,6
terminologyIdent,6
terminologyPara,7
terminologyRef,7
terminologyRepository,3
terminologySpec,5
terminologyTerm,6
testDescr,10
testName,11
testParameters,10
testProcedure,10
tfoot,1
tgroup,0
thead,1
thermoCoupleMinus,8
thermoCouplePlus,8
threshold,9
thresholdInterval,5
thresholdValue,10
timeLimit,4
timeLimitCategory,4
timeLimitInfo,3
toEquip,7
tocEntry,6
tocList,4
tolerance,10
tool,7
toolAlts,6
toolIdent,6
toolRef,7
toolRefGroup,6
toolRepository,3
toolSpec,5
toolsList,3
toolsListCode,5
toolsListGroup,4
toolsRefs,7
totalQuantity,5
trade,6
trainingStep,3
transport,9
transverseLink,6
triaxialCableFlag,7
trigger,8
trueValue,1
twist,8
twistGroup,7
typeDesignation,7
unitOfIssue,7
unitOfIssueQualificationSegment,7
unverified,4
update,2
updateAddress,2
updateCode,4
updateIdent,3
